Name,Title,Year,Journal,Type,Keywords,Abstract,DOI,Article Affiliation,ORCID,Scopus ID,Google Scholar ID
Christine Medaugh,Accuracy of Electronic Health Record-Documented Aspirin for Primary Prevention in Adult Outpatients,2023,JAMA Network Open,Article,aspirin; aspirin primary; document aspirin; electronic health; health record,,10.1001/jamanetworkopen.2023.26237,University of Michigan Medical School,,36114016500,
Christine Medaugh,Assessment of specific risks for the recurrence of deep vein thrombosis: A case report,2009,Cases Journal,Article,anticoagulation warfarin; coumadin thrombophilia; deep vein; risk recurrence; thrombosis; thrombosis case; thrombosis consequent; vein thrombosis; venous thromboembolism,"Introduction: Venous thromboembolism is a multifactorial disease defined by multiple interactions between genetic and environmental components. It is managed by oral anticoagulation with warfarin sodium (Coumadin), a drug that targets the vitamin K epoxide reductase to prevent the recycling of vitamin K epoxide to the reduced form of vitamin K. The reduced form of vitamin K is an essential cofactor in the formation of active clotting factors II, VII, IX, X and regulatory factors protein C, and cofactor protein S through gamma-glutamyl carboxylation. The duration of Coumadin treatment, three to six months or life-long, should be based on the individual risk for recurrent deep vein thrombosis and on the associated increased risk for bleeding complications. Case Presentation: A previously healthy 50-year-old white male developed a deep vein thrombosis consequent to surgical placement of a titanium rod to correct a fracture of the femur and he was maintained for over a year on daily oral doses of Coumadin 9 mg and aspirin 325 mg. When he began to bruise spontaneously with multiple large hematomas appearing without provocation, he requested that his primary care physician reconsider the anticoagulation. Because of his age, sex, and the possibility of an inherited or acquired anticoagulant protein deficiency he was maintained on Coumadin and a thrombophilia work up was ordered. Test results were interpreted as deficiencies in both protein C and protein S and he was instructed that life-long therapy with Coumadin was necessary. Is this a correct evaluation by his primary care physician? Conclusion: This case illustrates that Coumadin, a vitamin K agonist, was exerting a therapeutically acceptable negative influence on plasma activity levels of vitamin K-dependent protein C and protein S. Relying on the outcome of a thrombophilia work-up for a decision to maintain or cease Coumadin treatment of patients at risk for recurrent deep vein thrombosis has pitfalls that can be avoided. The use of real-time B-mode venous ultrasonography to verify complete restoration of venous flow before ceasing Coumadin treatment is not always considered in the long-term management of a patient with a first thrombosis, despite the well documented significant risk of deep vein thrombosis recurrence associated with an unresolved thrombosis. © 2009 Boys et al.; licensee Cases Network Ltd.",10.4076/1757-1626-2-7024,MSU College of Human Medicine,,36114016500,
Christine Medaugh,Guideline concordance of aspirin use for primary prevention in adult outpatients,2024,Blood Advances,Article,aspirin; aspirin use; aspirin user; concordance aspirin; indication aspirin; prevention adult; prevention aspirin; prevention primary,"2024 by The American Society of Hematology.Recent guidelines have recommended a reduced role for primary prevention aspirin use, which is associated with an increased bleeding risk. This study aimed to characterize guideline-discordant aspirin use among adults in a community care setting. As part of a quality improvement initiative, patients at 1 internal medicine and 1 family medicine clinic affiliated with an academic hospital were sent an electronic survey. Patients were included if they were at least 40 years old, had a primary care provider at the specified site, and were seen in the last year. Patients were excluded if they had an indication for aspirin other than primary prevention. Responses were collected from 15 February to 16 March 2022. Analyses were performed to identify predictors of primary prevention aspirin use and predictors of guideline-discordant aspirin use; aspirin users and nonusers were compared using Fisher exact test, independent samples t tests, and multivariable logistic regression. Of the 1460 patients sent a survey, 668 (45.8%) responded. Of the respondents, 132 (24.1%) reported aspirin use that was confirmed to be for primary prevention. Overall, 46.2% to 58.3% of primary prevention aspirin users were potentially taking aspirin, contrary to the guideline recommendations. Predictors of discordant aspirin use included a history of diabetes mellitus and medication initiation by a primary care provider. In conclusion, primary prevention aspirin use may be overutilized and discordant with recent guideline recommendations for approximately half of the patients, suggesting a need for aspirin deimplementation. These efforts may be best focused at the primary care level.",10.1182/bloodadvances.2024014220,University of Michigan Medical School,,36114016500,
Christopher Frank,Cannabis Use During Pregnancy,2022,American Family Physician,Letter,cannabis; pregnancy; use; use pregnancy,,,,0000-0001-9195-0869,57204622556,
Christopher Frank,Defining and supporting high-quality telehealth for patients with opioid use disorder: The promise and potential pitfalls of telehealth expansion,2022,Substance Abuse,Article,buprenorphine; harm reduction; opioid - relate disorder; opioid use; quality of care; substance - relate disorder; telehealth; telemedicine,"2022 AMERSA, Inc.Many patients with opioid use disorders do not receive evidence-based treatment. The COVID-19 pandemic expanded the use of telehealth for prescribing medications for opioid use disorder (OUD). The uptake of telehealth has been variable, and this uneven expansion has created natural experiments to test assumptions and answer key questions about what improves outcomes for patients with OUD. Many current quality of care measures are not patient centered and do not focus on the practical questions that clinicians face. What criteria should be met before prescribing buprenorphine? Are physical exams necessary? Does the frequency and type of drug testing predict clinical outcomes? Are short check-in visits by phone or video better than less frequent in-person visits? Answering these questions can help define the essential components of high-quality care for patients with OUD. Defining the features of high-quality care can help create guardrails that will help protect our patients from potentially exploitive and ineffective care. Telehealth will likely end up being one additional tool to deliver care, but the scientific questions that can be answered during this period of rapid change can help answer some of the fundamental questions about providing high-quality care—and that will help all our patients, no matter how care is delivered.",10.1080/08897077.2022.2127140,University of Michigan Medical School,0000-0001-9195-0869,57204622556,
Christopher Frank,"Detection of a Human Adenovirus Outbreak, Including Some Critical Infections, Using Multipathogen Testing at a Large University, September 2022-January 2023",2024,Open Forum Infectious Diseases,Article,adenovirus; infection; outbreak; respiratory illness; student; tin; university,"2024 Published by Oxford University Press on behalf of Infectious Diseases Society of America.Background: Human adenoviruses (HAdVs) can cause outbreaks of flu-like illness in university settings. Most infections in healthy young adults are mild; severe illnesses rarely occur. In Fall 2022, an adenovirus outbreak was identified in university students. Methods: HAdV cases were defined as university students 17-26 years old who presented to the University Health Service or nearby emergency department with flu-like symptoms (eg, fever, cough, headache, myalgia, nausea) and had confirmed adenovirus infections by polymerase chain reaction (PCR). Demographic and clinical characteristics were abstracted from electronic medical records; clinical severity was categorized as mild, moderate, severe, or critical. We performed contact investigations among critical cases. A subset of specimens was sequenced to confirm the HAdV type. Results: From 28 September 2022 to 30 January 2023, 90 PCR-confirmed cases were identified (51% female; mean age, 19.6 years). Most cases (88.9%) had mild illness. Seven cases required hospitalization, including 2 critical cases that required intensive care. Contact investigation identified 44 close contacts; 6 (14%) were confirmed HAdV cases and 8 (18%) reported symptoms but never sought care. All typed HAdV-positive specimens (n = 36) were type 4. Conclusions: While most students with confirmed HAdV had mild illness, 7 otherwise healthy students had severe or critical illness. Between the relatively high number of hospitalizations and proportion of close contacts with symptoms who did not seek care, the true number of HAdV cases was likely higher. Our findings illustrate the need to consider a wide range of pathogens, even when other viruses are known to be circulating.",10.1093/ofid/ofae192,"University of Michigan, Ann Arbor",0000-0001-9195-0869,57204622556,
Christopher Frank,Harm Reduction for Patients With Substance Use Disorders,2022,American Family Physician,Article,harm; harm reduction; patient substance; substance use; use disorder,,,University of Michigan Medical School,0000-0001-9195-0869,57204622556,
Christopher Frank,Perspectives of adolescents and young adults on cannabis use during pregnancy,2024,Addictive Behaviors,Article,adolescent; adult; cannabis; cannabis in pregnancy; patient preference; pregnancy; young adult,"2024 Elsevier LtdPurpose: Rates of cannabis use during pregnancy are highest for adolescents and young adults (AYAs). This study aims to understand AYA perspectives regarding the medical and legal consequences of prenatal and parental cannabis use. Methods: This study delivered five open-ended survey questions regarding prenatal cannabis use in May/June 2022 via a text message polling platform to the MyVoice cohort, a cohort of AYA aged 14–24 throughout the United States recruited from social media to target national benchmarks set by the American Community Survey. We used qualitative content analysis to analyze open-ended responses and summarized code frequency and demographic data with descriptive statistics. Results: Of 826 AYAs, 666 responded to at least one question (response rate = 80.6 %) and the mean age of respondents was 19.9 years (SD = 2.3). We identified four themes from responses: (1) AYA believe cannabis is harmful during pregnancy, (2) they are divided on whether prenatal cannabis exposure should be considered child abuse or neglect, (3) they have mixed attitudes about safe parenting and regular cannabis use, and (4) they support counseling from health care professionals about prenatal cannabis use. Conclusions: AYAs were concerned about potential risks of prenatal cannabis exposure and want clinicians to counsel about cannabis use during pregnancy. More than one in three AYAs surveyed felt prenatal cannabis use should be classified as child abuse or neglect, in contrast to the declining perception of risk among pregnant people.",10.1016/j.addbeh.2024.108059,University of Michigan Medical School,0000-0001-9195-0869,57204622556,
Christopher Frank,Prenatal cannabis exposure and the risk of subsequent maltreatment,2025,Child Abuse and Neglect,Article,cannabis; child maltreatment; racial bias; substance expose infant,"2024 Elsevier LtdBackground: Parental substance use can increase the risk of child maltreatment. Objective: The purpose of this study was to assess racial bias in newborn drug testing and to investigate the association between prenatal tetrahydrocannabinol (THC) exposure and subsequent child maltreatment. Participants and Setting. This retrospective cohort study (n = 35,437) linked University of Michigan Hospital birth data and Michigan Department of Health and Human Services child maltreatment data relative to a 2018 policy change. Prior to 2018, prenatal THC exposure was routinely substantiated as physical abuse; after 2018 THC exposure was investigated but not automatically substantiated. Methods: We defined prenatal THC exposure as a positive newborn meconium drug test for THC. The primary outcome was a substantiated Child Protective Services (CPS) report of maltreatment before and after the policy change. Demographic variables included parent age, race, ethnicity, zip code and insurance type. Covariates included prenatal urine drug test orders and results, and newborn drug test orders and results. Regression models estimated the rate of subsequent maltreatment and racial disparities associated with newborn testing. Results: Regression analyses indicated that Black and multiracial newborns were significantly more likely to be tested for substance exposure at birth. Newborns with a test positive for THC only were not more likely to experience maltreatment after the policy change as compared with newborns that tested negative and newborns not tested. Conclusions: The evidence strongly supports a policy to end routine CPS investigations for cannabis exposure and eliminate racially biased drug testing practices.",10.1016/j.chiabu.2024.107175,"University of Michigan, Ann Arbor",0000-0001-9195-0869,57204622556,
Christopher Frank,Prescriptions for Buprenorphine in Michigan Following an Education Intervention,2023,JAMA Network Open,Article,buprenorphine; buprenorphine michigan; buprenorphine prescriber; buprenorphine prescription; education intervention; michigan opioid; moc buprenorphine; opioid collaborative; prescription,"2023 American Medical Association. All rights reserved.Importance: Buprenorphine is an underused treatment for opioid use disorder (OUD) that can be prescribed in general medical settings. Founded in 2017, the Michigan Opioid Collaborative (MOC) is an outreach and educational program that aims to address clinician and community barriers to buprenorphine access; however, the association between the MOC and buprenorphine treatment is unknown. Objective: To evaluate the association between MOC service use and county-level temporal trends of density of buprenorphine prescribers and patients receiving buprenorphine. Design, Setting, and Participants: This cohort study exploited staggered implementation of MOC services across all Michigan counties. Difference-in-difference analyses were conducted by applying linear fixed-effects regression across all counties to estimate the overall association of MOC engagement with outcomes and linear regression for each MOC-engaged county separately to infer county-specific results using data from May 2015 to August 2020. Analyses were conducted from September 2021 to November 2023. Exposures: MOC engagement. Main Outcomes and Measures: County-level monthly numbers of buprenorphine prescribers and patients receiving buprenorphine (per 100000 population). Results: Among 83 total counties, 57 counties (68.7%) in Michigan were engaged by MOC by 2020, with 3 (3.6%) initiating engagement in 2017, 19 (22.9%) in 2018, 27 (32.5%) in 2019, and 8 (9.6%) in 2020. Michigan is made up of 83 counties with a total population size of 9990000. A total of 5070000 (50.8%) were female, 1410000 (14.1%) were African American or Black, 530000 (5.3%) were Hispanic or Latino, and 7470000 (74.7%) were non-Hispanic White. The mean (SD) value of median age across counties was 44.8 (6.4). The monthly increases in buprenorphine prescriber numbers in the preengagement (including all time points for nonengaged counties) and postengagement periods were 0.07 and 0.39 per 100000 population, respectively, with the absolute difference being 0.33 (95% CI, 0.12-0.53) prescribers per 100 000 population (P =.002). The numbers of patients receiving buprenorphine increased by an average of 0.6 and 7.15 per 100000 population per month in preengagement and postengagement periods, respectively, indicating an estimated additional 6.56 (95% CI, 2.09-11.02) patients receiving buprenorphine per 100 000 population (P =.004) monthly increase after engagement compared with before. Conclusions and Relevance: In this cohort study measuring buprenorphine prescriptions in Michigan over time, counties' engagement in OUD-focused outreach and clinician education services delivered by a multidisciplinary team was associated with a temporal increase in buprenorphine prescribers and patients receiving buprenorphine..",10.1001/jamanetworkopen.2023.49103,University of Michigan School of Public Health,0000-0001-9195-0869,57204622556,
Christopher Frank,Racial Disparities in Newborn Drug Testing After Implementation of Question-Based Screening for Prenatal Substance Use,2024,Obstetrics and Gynecology,Article,tin,"2024 by the American College of Obstetricians and Gynecologists. Published by Wolters Kluwer Health, Inc. All rights reserved.OBJECTIVE: To examine the association of universal question-based screening for prenatal substance use on racial inequities in prenatal and newborn drug testing. METHODS: We conducted a retrospective cohort study of 32,802 live births of patients receiving prenatal care at an academic medical center in the midwestern United States from 2014 to 2022, before and after implementation of question-based screening in 2018. Primary outcomes included prenatal and newborn drug test orders. Logistic regression models using a generalized estimating equation framework assessed associations with question-based screening and results, birthing parent age, race, ethnicity, marital status, and insurance type. Charts of patients who indicated difficulties stopping substance use were audited for guideline-directed care. RESULTS: A total of 12,725 of 14,992 pregnant people (85.3%) received question-based screening. Implementation of question-based screening was associated with a decrease in prenatal urine test orders (5.0% [95% CI, 4.6-5.3%] before implementation, 3.1% [95% CI, 2.8-3.4%] after implementation; P<.001), with Black birthing parents having the largest reduction in prenatal urine drug testing (10.3% [95% CI, 9.0-11.7%] before implementation, 4.9% [95% CI, 3.9-5.9%] after implementation). However, rates of newborn drug testing did not change (4.7% [95% CI, 4.4-5.0%] before implementation, 4.5% [95% CI, 4.2-4.8%] after implementation; P5.46), and clinicians continued to order significantly more newborn drug tests for newborns of Black birthing parents compared with other race and ethnicity groups. CONCLUSION: Implementation of question-based screening for substance use in pregnancy was associated with decreased prenatal urine drug testing but no change in overall newborn drug testing or racial inequities in newborn drug testing for Black birthing people. Further policy efforts are warranted to improve substance use treatment and to eliminate racial inequities in punitive policies such as newborn drug testing and subsequent child protective services reporting.",10.1097/AOG.0000000000005631,University of Michigan Medical School,0000-0001-9195-0869,57204622556,
Christopher Frank,Social Determinants of Mental and Behavioral Health,2023,Primary Care - Clinics in Office Practice,Review,mental; mental illness; social determinant,,10.1016/j.pop.2023.04.003,University of Michigan Medical School,0000-0001-9195-0869,57204622556,
Christopher Frank,Structural Racism in Newborn Drug Testing: Perspectives of Health Care and Child Protective Services Professionals,2024,Annals of Family Medicine,Article,child; child abuse; health inequity; implicit bias; qualitative research; racism; tin,"2024, Annals of Family Medicine, Inc. All rights reserved.PURPOSE Black birthing parents and their newborns disproportionately experience newborn drug testing for prenatal substance exposure by health care professionals (HCPs), which contributes to Child Protective Services (CPS) reporting, family separation, and termination of parental rights. This qualitative study aims to interrogate dominant power structures by exploring knowledge, attitudes, and experiences of HCPs and CPS professionals regarding the influence of structural racism on inequities in newborn drug testing practices. METHODS We conducted semistructured interviews with 30 physicians, midwives, nurses, social workers, and CPS professionals guided by an explanatory framework, and conducted inductive, reflexive thematic analysis. RESULTS We identified 3 primary themes: (1) levels of racism beyond the hospital structure contributed to higher rates of drug testing for Black newborns; (2) inconsistent hospital policies led to racialized application of state law and downstream CPS reporting; and (3) health care professionals knowledge of the benefits and disproportionate harms of CPS reporting on Black families influenced their decision making. CONCLUSION Health care professionals recognized structural racism as a driver of disproportionate newborn drug testing. Lack of knowledge and skill limitations of HCPs were barriers to dismantling power structures, thus impeding systems-level change. Institutional changes should shift focus from biologic testing and reporting to supporting the mutual needs of birthing parent and child through family-centered substance use treatment. State and federal policy changes are needed to ensure health equity for Black families and eliminate reporting to CPS for prenatal substance exposure when no concern for child abuse and neglect exists.",10.1370/afm.3139,University of Michigan Medical School,0000-0002-3079-5591,57203727675,
Christopher Frank,Success Rates of Cranial Remolding Orthosis Treatment of Plagiocephaly Based on Initial Presentation,2024,Journal of Prosthetics and Orthotics,Article,cranial remold orthosis; cranial vault asymmetry; plagiocephaly; premature birth; severity; treatment outcome,"Copyright © 2023 American Academy of Orthotists and Prosthetists.Introduction: Cranial remolding orthoses (CROs) are used to treat deformational plagiocephaly. Treatment outcomes vary widely depending on treatment timing and severity of the deformity. The relative impact of these factors on success rates is not well known. Objective: This study aimed to quantify success rates of CRO treatment, based on age at initiation of treatment and the severity of cranial deformity. Study Design: This is a retrospective cohort study of infants treated for positional plagiocephaly with a CRO. Methods: A total of 300 infants with deformational plagiocephaly who were treated with a CRO were categorized into four groups by corrected age at initiation of orthotic treatment (<22 weeks, 22–25 weeks, 26–30 weeks, and >30 weeks) and into four groups by severity of their deformity (initial cranial vault asymmetry of 6–9 mm, 10–12 mm, 13–16 mm, and 17+ mm). Success rates were compared across the groups. A successful outcome was defined as achieving a final cranial vault asymmetry of 5 mm or less. Results: The overall success rate for CRO treatment was 75%. However, success rates among the groups varied from 6% to 98%, depending on the severity and the age at initiation. Severity had a more significant effect on success rates than age at initiation. The age at initiation became more influential in determining the likelihood of success when the infant's deformity was severe. Conclusions: The likelihood of achieving a successful treatment outcome with a CRO varies greatly depending on the severity of the deformity and corrected age at initiation of treatment, with severity having the greater impact. Clinical Relevance: This study provides clinicians with treatment outcomes categorized by severity and corrected age at initiation to aid in setting appropriate expectations for treatment outcomes.",10.1097/JPO.0000000000000481,"University of Michigan, Ann Arbor",0000-0001-9195-0869,57204622556,
Christopher Frank,Time to successful outcome vs. treatment duration in cranial remolding orthosis treatment,2024,Prosthetics and Orthotics International,Article,cranial remold orthosis; cranial vault asymmetry; plagiocephaly; premature birth; severity; time; treatment duration; treatment outcome,"Copyright © 2024 International Society for Prosthetics and Orthotics.Background: Cranial remolding orthoses are an effective treatment of deformational plagiocephaly. Typical treatment durations are well documented. However, treatment duration can be affected by multiple factors and may not be a true representation of the time necessary to achieve a successful clinical outcome. Objective: This study compared the time to achieve a successful clinical outcome against the total treatment duration for cranial remolding orthosis therapy in infants with deformational plagiocephaly. Study design: This is a retrospective study of infants treated for deformational plagiocephaly with a cranial remolding orthosis. Methods: A total of 300 infants with deformational plagiocephaly who were treated with a cranial remolding orthosis were grouped by corrected age at initiation of treatment and by severity of deformity. A successful outcome was defined as achieving a final cranial vault asymmetry of 5 mm or less. For the 226 infants who achieved a successful outcome, time to successful outcome and treatment duration were compared between the groups. Results: The time to successful outcome depended on severity but not on age at initiation. The median time to successful outcome ranged from 6 weeks to 17.5 weeks, depending on the severity of the deformity. Time to successful outcome was significantly shorter than treatment duration for infants with an initial cranial vault asymmetry of less than 17 mm. Conclusion: Current treatment durations for infants with moderate plagiocephaly may be longer than necessary. Estimated treatment time lines should be based on the initial severity of the infant’s deformity.",10.1097/PXR.0000000000000388,"University of Michigan, Ann Arbor",0000-0001-9195-0869,57204622556,
Cornelius Jamison,"A National Study of Expedited Partner Therapy Use in Emergency Departments: A Survey of Medical Director Knowledge, Attitudes, and Practices",2024,Sexually Transmitted Diseases,Article,emergency department; ept awareness; ept treating; expedite partner; outcomes ept; partner therapy; practice ept; therapy ept; therapy use; use emergency,"Lippincott Williams & Wilkins.Background Emergency departments (EDs) are the primary source of health care for many patients diagnosed with sexually transmitted infections (STIs). Expedited partner therapy (EPT), treating the partner of patients with STIs, is an evidence-based practice for patients who might not otherwise seek care. Little is known about the use of EPT in the ED. In a national survey, we describe ED medical directors' knowledge, attitudes, and practices of EPT. Methods A cross-sectional survey of medical directors from academic EDs was conducted from July to September 2020 using the Academy of Academic Administrators of Emergency Medicine Benchmarking Group. Primary outcomes were EPT awareness, support, and use. The survey also examined barriers and facilitators. Results Forty-eight of 70 medical directors (69%) responded. Seventy-three percent were aware of EPT, but fewer knew how to prescribe it (38%), and only 19% of EDs had implemented EPT. Seventy-nine percent supported EPT and were more likely to if they were aware of EPT (89% vs. 54%; P = 0.01). Of nonimplementers, 41% thought EPT was feasible, and 56% thought departmental support would be likely. Emergency department directors were most concerned about legal liability, but a large proportion (44%) viewed preventing sequelae of untreated STIs as ""extremely important.""Conclusions Emergency department medical directors expressed strong support for EPT and reasonable levels of feasibility for implementation but low utilization. Our findings highlight the need to identify mechanisms for EPT implementation in EDs.",10.1097/OLQ.0000000000001880,Icahn School of Medicine at Mount Sinai,0000-0001-9411-2473,57203971419,
Cornelius Jamison,Association between Chlamydia and routine place for healthcare in the United States: NHANES 1999–2016,2021,PLoS ONE,Article,association chlamydia; chlamydia; chlamydia routine; chlamydia trachomatis; infection sti; place healthcare; states nhane; sti clinical; sti screen,"2021 Jamison et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.Background The United States is experiencing a surge in Chlamydia trachomatis (CT) infections representing a critical need to improve sexually transmitted infection (STI) screening and treatment programs. To understand where patients with STIs seek healthcare, we evaluated the relationship between CT infections and the place where individuals report usually receiving healthcare. Methods Our study used a nationally representative sample from the National Health and Nutrition Examination Survey (NHANES) from 1999 to 2016. The study population is adult patients, aged 18 to 39 years in whom a urine CT screen was obtained. Logistic regression models were used to determine if location of usual healthcare was predictive of a positive urine CT screen result. Models were adjusted for known confounders including age, gender, race/ethnicity, education, and insurance status. Results In this nationally representative sample (n = 19,275; weighted n = 85.8 million), 1.9% of individuals had a positive urine CT result. Participants reported usually going to the doctor’s office (70.3%), “no place” (24.8%), Emergency Department (ED) (3.3%), or “other” place (1.7%) for healthcare. In adjusted models, the predicted probability of having a positive urine CT result is higher (4.9% vs 3.2%, p = 0.022; OR = 1.58) among those that reported the ED as their usual place for healthcare compared to those that reported going to a doctor’s office or clinic. Conclusions Individuals having a positive urine CT screen are associated with using the ED as a usual source for healthcare. Understanding this association has the potential to improve STI clinical and policy interventions as the ED may be a critical site in combatting the record high rates of STIs.",10.1371/journal.pone.0251113,University of Michigan Medical School,0000-0002-1945-6046,57203971419,
Cornelius Jamison,Availability of Sexually Transmitted Infection Screening and Expedited Partner Therapy at Federally Qualified Health Centers in Michigan,2020,Sexually Transmitted Diseases,Article,availability sexually; clinic sti; infection screening; partner therapy; patient sti; screen availability; sexually transmit; sti screen; transmit infection,"2020 Lippincott Williams & Wilkins.Via secret shopper study, we assessed: (1) availability of sexually transmitted infection (STI) screening; (2) provision of expedited partner therapy; and (3) wait times for new patient STI screening appointments at Michigan federally qualified health centers. Of the 147 clinics with STI screening availability, 10.2% (15) confirmed expedited partner therapy provision.",10.1097/OLQ.0000000000001190,University of Michigan Medical School,0000-0002-3580-9438,57203971419,
Cornelius Jamison,Evaluation of the sexual health behaviors of black male adolescents and young adults through social media platforms: Web-based survey study,2020,JMIR Public Health and Surveillance,Article,adolescent; black; health male; patient survey; service delivery; sexual health; social medium; young adult,"Jade Burns, Keith Johnstone, Tanaka Chavanduka, Cornelius Jamison, Valery Pena, Rob Stephenson, Lynae Darbes.Background: Social media platforms such as Facebook, Instagram, and Twitter, which have millions of users who interact and communicate every day, have been effective in promoting sexual health interventions and in disseminating reproductive health education. They have also been shown to be useful in health promotion and have been used to track several key metrics (eg, comments, posts) among users of all demographics. However, there is a lack of research on the impact and reach of these social media platforms as a community-based tool for disseminating sexual health information and for increasing engagement among Black adolescents and young adults, which is a targeted high-risk population. Objective: The purpose of this study was to determine the social media platforms and banner advertisements that affected engagement among Black male adolescents and young adults in participating in web-based health surveys. Methods: A web-based survey was conducted from March 2019 to July 2019 to assess sexual health and health behaviors in a convenience sample of Black male adolescents and young adults in the age range of 18-24 years (N=170). Social media metrics from Facebook, Instagram, and Twitter were monitored. This cross-sectional survey comprised several categories, including basic personal information, drug-related risk behaviors, health care, sexual reproductive health questions, attitudes, norms, and perceived control, mental health, violence-related risk behaviors, and social media preferences. Results: Social media advertisements on the Black Male Opinion survey reached approximately 146,412 individuals. Our primary finding of the web-based survey engagement was that referral (eg, group chat, indirect social media sharing) led to as the greatest proportion of recruitment, with Twitter and YouTube as the preferred sites to receive sexual health information. Conclusions: Recognizing the variety of technologies being used among Black male young adults and adolescents can help the community, researchers, and health care providers understand the web-based engagement of this high-risk population. This information may also promote culturally sensitive, customized marketing on sexual health information for this population.",10.2196/19219,University of Michigan School of Nursing,0000-0001-9411-2473,57203971419,
Cornelius Jamison,Expedited Partner Therapy: Combating Record High Sexually Transmitted Infection Rates.,,,,expedite partner; infection rate; partner therapy; sexually transmit; transmit infection,,,,0000-0001-9411-2473,,
Cornelius Jamison,Improving Women's Health and Combatting Sexually Transmitted Infections Through Expedited Partner Therapy.,,,,combat sexually; infection expedite; partner therapy; sexually transmit; transmit infection,,,,0000-0001-9411-2473,,
Cornelius Jamison,The future of STI screening and treatment for youth: a National Survey of youth perspectives and intentions,2021,BMC Public Health,Article,adolescent; intention; reproductive sexual; school - base health center; text message,"2021, The Author(s).Background: Sexually transmitted infection (STI) rates continue to rise in the U.S., with disproportionately high rates among those aged 15–24 years. Effective programs and policies are necessary to address this growing public health problem. The purpose of this study is to assess the perspectives of a national sample of youth on access to STI care and behaviors regarding STIs. Methods: MyVoice, a national text message survey of youth, was used to pose four open-ended questions on STI screening and treatment to 1115 youth aged 14–24 in August 2018. A mixed-methods strategy was employed for the study. Qualitative data was analyzed using a modified grounded theory approach. Summary statistics were calculated for demographic data and prevalence of themes. Results: Of the 800 participants who responded to at least one question (72% response rate), mean age was 19 years (SD = 3.1), 55% identified as female, 61% identified as non-Hispanic white, and 33% qualified for free/reduced lunch. A majority felt it would be easy to get screened (69%) or treated (68%) for an STI. Nearly all respondents (95%) stated they would share an STI diagnosis with their sexual partners. Conclusions: Despite high rates of STIs among youth, most respondents reported that STI screening and treatment is accessible, and they would share an STI diagnosis with their partner.",10.1186/s12889-021-12091-y,College of Medicine and Life Sciences,0000-0001-9411-2473,57203971419,51271552
Cornelius Jamison,The Michigan Collaborative for Type 2 Diabetes (MCT2D): Development and implementation of a statewide collaborative quality initiative,2024,BMC Health Services Research,Article,care resource; collaborative; primary care; quality improvement; type 1; value - base reimbursement,"The Author(s) 2024.Background: Type 2 diabetes (T2D) is one of the most prevalent chronic diseases worldwide and a leading cause of cardiorenal disease and mortality. Only one-third of individuals with T2D receive care as recommended by the American Diabetes Association’s clinical practice guidelines. Effective strategies are needed to accelerate the implementation of guideline concordant T2D care. Methods: The Michigan Collaborative for Type 2 Diabetes (MCT2D) is a statewide population health collaborative quality initiative (CQI) developed to improve the care of all people with T2D in Michigan. MCT2D has developed a learning health system with physician organizations and their constituent practices to support quality improvement initiatives focused on (1) improving use of guideline-directed pharmacotherapy to improve cardiorenal outcomes, (2) increasing evidence-based use of continuous glucose monitoring, and (3) supporting use of lower carbohydrate eating patterns. Results: Between 2021 and 2022, MCT2D recruited 28 of the 40 Michigan-based physician organizations participating in Blue Cross’ Physician Group Incentive Program with 336 constituent practices and 1357 physicians in primary care (304), endocrinology (21) and nephrology (11). In January 2022, baseline data included a sample of 96,140 unique individuals with T2D. The baseline HbA1c was ≤ 7.0% for 66.3% of patients (n = 32,787), while 14.9% of patients had a most recent HbA1c ≥ 8.0% (n = 7,393). The most recent body mass index (BMI) was ≥ 30.0 for 64.8% of patients (n = 38,516). Discussion: MCT2D has organized a statewide collaborative to recruit and engage a diverse and large set of physician organizations and their constituent practices. This is a promising opportunity to accelerate adoption of guideline-concordant care for people with T2D and may be a model for other state or regional collaboratives. Future directions include specific evidence-based interventions targeted at reducing diabetes-linked comorbidities and associated healthcare costs as well as strategies focused on T2D prevention among at-risk populations.",10.1186/s12913-024-11520-z,"University of Michigan, Ann Arbor",0000-0001-9411-2473,57203971419,
