Name,Title,Year,Journal,Type,Keywords,Abstract,DOI,Article Affiliation,ORCID,Scopus ID,Google Scholar ID
Ayano Kiyota,Japanese primary care physicians' errors and perceived causes: A comparison with the United States,2006.0,Japan Medical Association Journal,Article,Cultural comparison; Health care quality; Japan; Medical error; Primary care; Cultural comparison; Health care quality; Japan; Medical error; Primary care,"Background: Reducing medical errors will improve health care quality, though few studies have addressed errors in Japan. We investigated primary care physicians' medical errors and perceived causes. We compared the results with previously reported U.S. data. Methods: Using a semi-structured instrument, we interviewed Japanese physicians about their most memorable medical errors and the perceived causes. We qualitatively analyzed interview transcripts to describe the errors and causes using a taxonomy including the categories: clinician factors, communication factors, administration factors, blunt-end factors, and patient-related factors. Results: Thirty-three Japanese primary care practitioners participated. Of 37 reported cases, 15 occurred in hospitals, and 22 occurred as outpatients. Misdiagnoses (n=10) and procedural complications (n=7) were the most commonly reported errors. The most commonly reported causes included being hurried/busy (n=19), underestimating the patient's condition (n=13), lack of follow-up (n=12) and being distracted (n=10). Cost and legal issues were raised as concerns less than in a similar U.S. study. Conclusions: The most common memorable medical errors reported by Japanese physicians included misdiagnoses and procedural complications. The causes of being hurried and lacking knowledge were found in similar proportions to a previous U.S. study. Socio-cultural differences between Japan and the U.S. such as legal and insurance system differences appear to influence physicians' perceptions of medical errors. These data demonstrate that serious medical errors occur in both inpatient and outpatient settings in Japan, and that primary care physicians can recognize and will discuss their errors. Further research is needed on epidemiology of and prevention of medical errors in Japan.",,University of Michigan Medical School,,8254377000.0,
Ayano Kiyota,Pre-post-evaluation of a dementia-specific advance care planning toolkit for Japanese primary care clinicians,2024.0,Journal of the American Geriatrics Society,Article,advance care planning; advanced directives; communication skills; dementia; Japan; primary care; advance care planning; advanced directives; communication skills; dementia; Japan; primary care,"2024 The Author(s). Journal of the American Geriatrics Society published by Wiley Periodicals LLC on behalf of The American Geriatrics Society.Background: The population of people living with dementia (PLwD) continues to grow in Japan where advance care planning (ACP) for PLwD is relatively new. Our aim was to evaluate the feasibility and cultural acceptability of a dementia-specific ACP communication skills toolkit for Japanese primary care clinicians. Methods: We delivered 13 training sessions in primary care clinics across central Japan and conducted a post-training survey to assess whether the toolkit increased confidence in dementia-specific ACP communication skills and the acceptability of the toolkit with the following four statements: (1) The language in the sessions was clear, (2) The sessions took an appropriate amount of time to complete, (3) The design of the sessions was an effective educational method, and (4) The sessions were culturally appropriate for communication with Japanese patients with dementia and their family members. We asked participants to respond using a 5-point Likert scale from strongly agree to strongly disagree. Results: All participants were Japanese and included 80 physicians (mean age 39.8 years), 33 nurses (mean age 45.7 years), and 58 other participants (mean age 42.9 years), who were 30.0%, 87.9%, and 55.2% female, respectively. Most participants practiced in rural settings. In pre- post-comparisons, participant confidence increased in determining capacity, understanding dementia prognosis, goals of care, eliciting surrogates, recommending self-care practices to families, and leading family meetings (all p < 0.001). Most participants strongly agreed or agreed that the toolkit was an effective method (96.9%), took an appropriate amount of time (94.5%), contained clear language (89.8%), and was culturally appropriate (73.6%). Conclusions: Dementia-specific ACP communication skills toolkit can be delivered in Japan. Japanese primary care clinicians generally felt the dementia-specific ACP toolkit increased their confidence in ACP communication skills and was acceptable. The language, time, and design were well received, though further work is needed to improve the cultural appropriateness of the toolkit.",10.1111/jgs.19040,The University of North Carolina at Chapel Hill,,8254377000.0,
Ayano Kiyota,What's the Plan? Needing Assistance with Plan of Care Is Associated with In-Hospital Death for ICU Patients Referred for Palliative Care Consultation,2016.0,Hawai'i journal of medicine &amp; public health : a journal of Asia Pacific Medicine &amp; Public Health,Article,Consultation; Death; Intensive Care Unit; Palliative Care; Prognosis; Referral; Consultation; Death; Intensive Care Unit; Palliative Care; Prognosis; Referral,"To inform earlier identification of intensive care unit (ICU) patients needing palliative care, we examined factors associated with in-hospital death among ICU patients (N=260) receiving palliative care consultations at a 542-bed tertiary care hospital (2005-2009). High pre-consultation length of stay (LOS, ≥7 days) (adjusted odds ratio (aOR)=5.0, 95% confidence interval (95% CI)=2.5-9.9, P<.01) and consultations for assistance with plan of care (aOR=11.6, 95% CI=5.6-23.9, P<.01) were independently associated with in-hospital death. Patients with both consultation for plan of care and high pre-consult LOS had the highest odds of in-hospital death (aOR=36.3, 95% CI=14.9-88.5, P<.001), followed by patients with consultation for plan of care and shorter pre-consult LOS (aOR=9.8, 95% CI=4.3-22.1, P<.001), and patients with long pre-consult LOS but no consultation for plan of care (aOR=4.7, 95% CI=1.8-12.4, P=.002). Our findings suggest that ICU patients who require assistance with plan of care need to be identified early to optimize end-of-life care and avoid in-hospital death.",,John A. Burns School of Medicine,,8254377000.0,
Barbara D Reed,Race/Ethnicity and Incidence of Pelvic Organ Prolapse in Midlife Women: The Study of Women’s Health Across the Nation,2024.0,Journal of Women's Health,Article,cohort study; ethnicity; incidence; midlife; pelvic organ prolapse; race,"Mary Ann Liebert, Inc.Background: Pelvic organ prolapse (POP) affects a considerable proportion of women. Limited information exists regarding the incidence of POP as women transition through menopause. Using data from the Study of Women’s Health Across the Nation (SWAN), this diverse community-based longitudinal cohort study assessed the incidence of symptomatic POP and risk by race/ethnicity. Methods: Self-reported POP was ascertained by questionnaire at 11 approximately annual SWAN visits over a median of 13.3 years of follow-up. We estimated probabilities for reporting POP using interval-censored Kaplan–Meier survival plots. We estimated hazard ratios (HR) and 95% confidence intervals (CI) using interval-censored Cox proportional hazards models. Results: The estimated cumulative probability of POP increased linearly from 2.1% at age 45 to 10.1% by age 65 (4.0% per decade). At age 65, the probability was 4.2%, 4.8%, 8.9%, 9.7%, and 33.9% for Japanese, Chinese, Black, White, and Hispanic women, respectively. Compared with White women, the unadjusted HR for POP was 3.09 (95% CI = 2.18–4.39), 0.96 (0.71–1.31), 0.43 (0.22–0.85), and 0.48 (0.26–0.88) for Hispanic, Black, Chinese, and Japanese women, respectively. After adjustment for financial strain and vaginal birth, the low hazards among Chinese and Japanese women and the high hazard for Hispanic women remained significant. Conclusion: Incidence of symptomatic POP increased as women aged through midlife. Risks varied by race and ethnicity and were not accounted for by population differences in socioeconomic life contexts or the probability of having had a vaginal birth. Although not associated with menopause, health providers should incorporate screening for and information about POP when treating menopausal symptoms and health needs of midlife women. Research on pathophysiological factors associated with increasing POP in midlife is warranted.",10.1089/jwh.2023.0804,University of Michigan School of Public Health,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,"Relationship Between Childhood Sexual Abuse, Obesity, and Vulvodynia in Adulthood",2024.0,Journal of Lower Genital Tract Disease,Article,body mass index; childhood sexual abuse; obesity; vulvodynia,"Lippincott Williams & Wilkins.Objective The aim of the study is to assess the relationship between childhood sexual abuse, obesity, and vulvodynia among adult women participating in a population-based longitudinal vulvodynia study. Materials and Methods Surveys assessed health status, diagnoses, risk factors, and screening test outcomes for women with vulvodynia. Associations between childhood sexual abuse (CSA) and obesity, CSA and vulvodynia, and obesity and vulvodynia were investigated. A multivariate model was used to determine if obesity mediates and/or modifies the relationship between CSA and vulvodynia. Results Of 2,277 women participating in the study, 1,647 completed survey data on CSA at 18 months, body mass index at 24 months, and vulvodynia over the first 54 months of the survey. Mean age was 50.9 ± 15.8 years. Overall, race and ethnicity were 77.4% White, 15.7% Black, 2.4% Hispanic, and 4.5% other. Five hundred thirty-nine participants (32.7%) were obese (body mass index >30) and 468 (28.4%) were overweight. Physical CSA before age of 18 years was reported by 20.0% (n = 329). During the study, 22.0% (n = 362) screened positive for vulvodynia on one or more surveys. After controlling for demographic variables, both obesity and screening positive for vulvodynia were associated with a history of CSA before age of 18 years (p =.013 and p <.001, respectively), but obesity was not associated with screening positive for vulvodynia (p =.865). In addition, multivariate analysis indicated no mediation of the CSA/vulvodynia relationship by obesity. Conclusions Although obesity and vulvodynia were independently associated with a history of CSA, obesity did not mediate or modify the relationship between CSA and vulvodynia in adulthood.",10.1097/LGT.0000000000000799,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Relationships between the vaginal microbiota and genitourinary syndrome of menopause symptoms in postmenopausal women: the Study of Women's Health Across the Nation,2023.0,Menopause,Article,Estrogen; Genitourinary syndrome of menopause; Vaginal atrophy; Vaginal microbiome,"2023 by The Menopause Society.Objective: To describe vaginal microbiota classified by community state types (CST) in a diverse cohort of postmenopausal women and evaluate relationships among genitourinary syndrome of menopause (GSM) symptoms (vaginal dryness, vulvovaginal irritation, sexual pain, dysuria, urinary urgency), CSTs, estrogen, vaginal maturation index (VMI), and vaginal pH. Methods: In the Study of Women's Health Across the Nation, 1,320 women aged 60.4 to 72.5 years self-collected (2015-2017) vaginal samples analyzed for microbiota composition and structure (CSTs) using 16S rRNA gene amplicon sequencing, VMI, and pH. GSM symptoms were collected with self-administered questionnaires; interviewers elicited estrogen use and measured body mass index. Serum E2 and E1 were measured using high-performance liquid chromatography. We analyzed data using Pearson χ2 tests, analysis of variance, Kruskal-Wallis tests, and binomial logistic regression. Results: The most frequently occurring CST was low Lactobacillus species IV-C (49.8%); 36.4% of women had CSTs dominated by Lactobacillus species. More than half of the women with vaginal atrophy biomarkers (VMI <50 and pH >5) had CST IV-C0, whereas women using estrogen or with higher E1 and E2 levels had a higher prevalence of Lactobacillus crispatus–dominated CST I (P values < 0.001). Sexual pain was associated with atrophy biomarkers and independently associated with Streptococcus species–dominated CST IV-C1 (odds ratio, 2.26; 95% confidence intervals, 1.20-4.23). For all other GSM symptoms, we found no consistent associations with E1 or E2 levels, atrophy biomarkers, or any CST. Conclusions: Although close relationships exist among estrogen, CSTs, VMI, and pH, sexual pain was the only GSM symptom associated with the structure of vaginal microbiota and atrophy biomarkers.",10.1097/GME.0000000000002263,UC Davis School of Medicine,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Impact of a single-session psychosocial counseling intervention for women with vulvodynia,2023.0,International Journal of Gynecology and Obstetrics,Article,counseling; pain; sexual health; vulvodynia,"2022 The Authors. International Journal of Gynecology & Obstetrics published by John Wiley & Sons Ltd on behalf of International Federation of Gynecology and Obstetrics.Objective: To evaluate the impact of a single session of psychosocial counseling on patients with vulvodynia. Methods: Patients diagnosed with vulvodynia at a vulvovaginal specialty clinic were randomly assigned to receive either a one-on-one 30- to 45-min psychosocial counseling session with a psychosexual counselor plus written educational materials (intervention group) or written materials alone (control group). They completed a survey before and 6 weeks after randomization that included demographic information and validated measures of sexual function and illness perception. Results: Thirty-one of 38 (81.6%) women approached chose to participate; 26 of the 31 (83.9%) completed the 6-week follow-up survey. Only the intervention group showed improvement in knowledge about vulvovaginal and sexual health, as well as in most measures of improvement in illness perception, as measured by the Brief Illness Perception Questionnaire (P < 0.05). When compared directly with those in the control group, patients in the intervention group reported increased understanding of their vulvar symptoms (P < 0.005) and lessened emotional impact of these symptoms (P = 0.035). Conclusion: Patients receiving one session of the one-on-one psychosocial counseling intervention reported improved understanding and lessened emotional impact of their vulvar symptoms, compared with the control group. This study suggests that improvement may occur following minimal intervention and supports the need for further study.",10.1002/ijgo.14321,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Patterns of Sexual Activity and the Development of Sexual Pain Across the Menopausal Transition,2022.0,Obstetrical and Gynecological Survey,Note,"menopausal transition, sexual activity, pain menopausal, sexual pain, menopausal",,10.1097/01.ogx.0000889876.74259.6c,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Vulvodynia,2020.0,Nature Reviews Disease Primers,Review,"women vulvodynia, vulvodynia condition, vulvodynia, pain vulva, maintenance vulvodynia, approach pelvic","2020, Springer Nature Limited.Vulvodynia is a condition that occurs in 8–10% of women of all ages and is characterized by pain at the vulva that is present during sexual and/or non-sexual situations. Diagnosis is established through careful medical history and pelvic examination, including the cotton-swab test. The onset and maintenance of vulvodynia involves a complex interplay of peripheral and central pain mechanisms, pelvic floor muscle and autonomic dysfunction, anxiety, depression and childhood maltreatment as well as cognitive–affective, behavioural and interpersonal factors. Given the absence of empirically supported treatment guidelines, a stepwise approach of pelvic floor physical therapy and cognitive behavioural therapy as well as medical management is suggested, with surgery as the last option. Vulvodynia has a negative effect on the quality of life of women and their partners, and imposes a profound personal and societal economic burden. In addition, women with vulvodynia are more likely to report other chronic pain conditions, which further alters their quality of life. Future efforts should aim to increase girls’, women’s and healthcare professionals’ education and awareness of vulvodynia, phenotype different subgroups of women based on biopsychosocial characteristics among more diverse samples, conduct longitudinal studies and improve clinical trial designs.",10.1038/s41572-020-0164-2,University of Montreal,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Nerve Growth Factor and Selected Cytokines in Women with and Without Vulvodynia,2018.0,Journal of Lower Genital Tract Disease,Article,cytokines; immune system; nerve growth factor; pain; vulvodynia,"Lippincott Williams & Wilkins.Objective The aim of the study was to assess the association between cytokines/neurokines after in vitro stimulation with Candida antigen or lipopolysaccharide (LPS) in blood samples among women with and without vulvodynia. Materials and Methods Women with vulvodynia and asymptomatic controls at three offices at the University of Michigan were examined clinically and completed a comprehensive survey in this cross-sectional study. Cytokine/neurokine levels were determined on blood samples using established ELISA protocols. Analysis of 48 cases and 42 ethnically matched controls included descriptive statistics (median, minimal, and maximal levels of cytokines/neurokines), overall and in cases and controls. Because of left-censored measurements, interval censored survival analysis was used to assess the association between case/control status and pain characteristics with cytokine/neurokine levels. Results Participants ranged in age from 19 to 60 years. Levels of IL1β, IL1-RA, TNFα, IL-6, and IL-8 increased substantially after LPS stimulation, whereas no response was seen on IFNγ or nerve growth factor (NGF). Each increased after Candida antigen stimulation, although responses to Candida antigen stimulation of IL1β, IL-6, and TNFα were less robust than after LPS. Only NGF was significantly increased in vulvodynia cases compared with controls (Exp β (95% CI) = 2.08 [1.08-3.98]) after 24-hour Candida antigen stimulation and persisted when controlled for age, use of oral contraceptives, or history of Candida vulvovaginitis. No association between cytokine/neurokine levels and pain characteristics was found. Conclusions Compared with that of control women, whole blood from women with vulvodynia demonstrates an enhanced production of NGF, but not of a set of inflammation-related cytokines, in response to Candida antigen stimulation.",10.1097/LGT.0000000000000377,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Factors associated with developing vaginal dryness symptoms in women transitioning through menopause: A longitudinal study,2018.0,Menopause,Article,Dyspareunia; Menopause; Sexual function; Vaginal dryness,"2018 by The North American Menopause SocietyObjective: To evaluate factors associated with incident self-reported vaginal dryness and the consequences of this symptom across the menopausal transition in a multiracial/ethnic cohort of community-dwelling women. Methods: We analyzed questionnaire and biomarker data from baseline and 13 approximately annual visits over 17 years (1996-2013) from 2,435 participants in the Study of Women's Health Across the Nation, a prospective cohort study. We used discrete-time Cox proportional-hazards regression to identify predictors of incident vaginal dryness and to evaluate vaginal dryness as a predictor of pain during intercourse and changes in sexual intercourse frequency. Results: The prevalence of vaginal dryness increased from 19.4% among all women at baseline (ages 42-53 years) to 34.0% at the 13th visit (ages 57-69 years). Advancing menopausal stage, surgical menopause, anxiety, and being married were positively associated with developing vaginal dryness, regardless of partnered sexual activity. For women not using hormone therapy, higher concurrent levels of endogenous estradiol were inversely associated (multivariable-adjusted hazard ratio: 0.94 per 0.5 standard deviation increase, 95% confidence interval: 0.91-0.98). Concurrent testosterone levels, concurrent dehydroepiandrosterone sulfate levels, and longitudinal change in any reproductive hormone were not associated with developing vaginal dryness. Both vaginal dryness and lubricant use were associated with subsequent reporting of pain during intercourse, but not with a decline in intercourse frequency. Conclusion: In these longitudinal analyses, our data support many clinical observations about the relationship between vaginal dryness, menopause, and pain during intercourse, and suggest that reporting of vaginal dryness is not related to androgen level or sexual intercourse frequency.",10.1097/GME.0000000000001130,UC Davis School of Medicine,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Candida Vulvovaginitis and Vulvodynia: The Mystery Continues,2017.0,Journal of Women's Health,Editorial,"vulvodynia mystery, vulvovaginitis vulvodynia, vulvovaginitis, vulvodynia, candida vulvovaginitis",,10.1089/jwh.2017.6620,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Does Degree of Vulvar Sensitivity Predict Vulvodynia Characteristics and Prognosis?,2017.0,Journal of Pain,Article,cotton-swab test; diagnosis; vulvar sensitivity; vulvodolorimeter; Vulvodynia,"2016 American Pain SocietyAlthough women with vulvodynia typically have increased vulvar sensitivity, data on characteristics associated with the degree of vulvar sensitivity are lacking. We measured vulvar sensitivity using cotton swab test and vulvodolorimeter among a subset of 335 women, aged younger than 70 years, in the longitudinal Woman to Woman Health Study. Comparing the vulvodynia screening results from their online/paper survey to that at the time of the examination, 42 women had ongoing vulvodynia, 66 had a recent remission, 22 control participants had a recent onset of vulvodynia, and 205 control participants remained asymptomatic. Vulvar sensitivity was greater in each vulvodynia group compared with the control group (P < .001), and was associated with younger age at first onset of pain (P = .025), pain after intercourse (P = .008), describing the pain as a “pressure,” “burning,” or “irritating” (P = .015, P = .005, and P = .006, respectively), with increased severity of pain ever (P = .012), and with subsequent persistent or relapsing vulvodynia (P < .001 for each). A score of >1 for the cotton swab summary score best differentiated case from control participants (sensitivity 71.9%; specificity 72.0%). Although 13.8% of women with vulvodynia had no increased sensitivity on cotton swab testing, they did not differ in most clinical characteristics or clinical course from those with increased vulvar sensitivity. Perspective This study showed that women with vulvodynia have more vulvar sensitivity than control women, but the spectrum of sensitivity is broad. Furthermore, those with and without vulvar sensitivity did not differ in most vulvar pain characteristics or in prognosis, suggesting a positive swab test is not required to substantiate the diagnosis.",10.1016/j.jpain.2016.10.006,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Using Maintenance of Certification as a Tool to Improve the Delivery of Confidential Care for Adolescent Patients,2017.0,Journal of Pediatric and Adolescent Gynecology,Article,Adolescent health services; Confidentiality; Informed consent by minors; Maintenance of certification; Privacy; Quality improvement,"2016 North American Society for Pediatric and Adolescent GynecologyStudy Objective Providing adolescents with confidential health care results in better social and health outcomes. We sought to assess if a medical board Maintenance of Certification Part IV project could improve the delivery of confidential care to minor adolescent patients seen in outpatient primary care practices. Design Participating physicians reviewed 3 months of charts for patients ages 12-17 years seen for well visits during a baseline time period, and after 2 Plan, Do, Study, Act intervention cycles to assess if they had met confidentiality standards. Participating physicians additionally completed an assessment tool on personal and clinic practices related to confidentiality. Setting Nine academic and 3 private practice family medicine, pediatrics, and medicine-pediatrics sites. Participants Forty-four physicians. Interventions Provider and staff deficits in knowledge of minor consent laws, resistance toward the idea of confidential care, and work flow issues around confidential screening were identified as primary barriers. Staff and provider trainings, scripts, and staff involvement in planning work flows were identified as key interventions. Main Outcome Measures Improvement in confidentiality standards met during minor adolescent well visits. Results Participating physicians significantly increased the proportion of well visits in which they spent time alone with the patient (P = .001), explained minor consent laws (P < .001), and had the adolescent complete a confidential risk screening tool (P < .001), in addition to improving scores on their confidentiality assessment overall (P < .001). Conclusions A medical board Maintenance of Certification Part IV project is an effective way to change physician practice and improve the delivery of confidential care to minor adolescents seen for well visits.",10.1016/j.jpag.2016.08.006,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Multimodal Vulvar and Peripheral Sensitivity among Women with Vulvodynia: A Case-Control Study,2017.0,Journal of Lower Genital Tract Disease,Article,central sensitization; electricity; pressure; sensory testing; subgroups; vulvodynia,"Lippincott Williams & Wilkins.Objective To assess differences in vulvar and peripheral sensitivity between women with and without vulvodynia. Methods Women with vulvodynia (n = 41) and age-matched controls (n = 43) seen in the outpatient setting were evaluated via surveys, clinical examination, and multimodal sensory testing (pressure, heat, cold, vibration, and electrical stimulation). The relationships between sensitivity to various sensory modalities and case/control status, as well as by vulvodynia subgroups, were assessed using logistic regression. Results Women with vulvodynia were more sensitive to pressure and to electrical stimuli than were control women at the vulva (median, 22 vs 230 g and 0.495 vs 0.769 mA, respectively; P < 0.001 for each) and at the thumb (median, 2500 vs 4250 g and 0.578 vs 0.764 mA, respectively; P = 0.006 for pressure, P < 0.001 for electrical stimulation). Heat, cold, and vibration detection thresholds did not differ significantly between these groups (P > 0.025). Those reporting spontaneous pain versus provoked pain had greater pressure sensitivity to the thumb (median, 1850 vs 2690 g; P = 0.020) and greater electrical sensitivity at the introitus (0.450 vs 0.608 mA; P = 0.011), and those with primary versus secondary vulvodynia had substantially greater pressure sensitivity to the thumb (median, 2438 vs 3125 g, P = 0.004). However, having localized versus generalized vulvodynia was not associated with differences in pressure or electrical sensitivity. Conclusions Sensitivities to pressure and electrical stimuli are greater among vulvodynia cases than among controls and support 2 previously defined subgroups - those reporting spontaneous pain versus those whose pain only occurred when provoked, and those with primary versus secondary vulvodynia.",10.1097/LGT.0000000000000267,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Vestibular Mast Cell Density in Vulvodynia: A Case-Controlled Study,2016.0,Journal of Lower Genital Tract Disease,Article,ethnicity; inflammation; Key Words mast cells; vulvodynia,"2016, American Society for Colposcopy and Cervical Pathology.Objectives To identify whether mast cell densities in vulvar biopsies from the vestibule are associated with vulvodynia. Methods We enrolled 100 women aged 19 to 59 years with confirmed vulvodynia cases, 100 racially matched controls, and 100 black control women. All had vulvar biopsies performed at the 7 o'clock position of the vestibule, which were then immunostained to detect c-KIT protein. The numbers of c-KIT positive mast cells per ×400 magnification field were manually counted, and t tests and logistic regression were used to assess the association with case-control status. Results Of the biopsies, 235 were adequate samples for c-KIT testing for mast cells. The mast cell density was substantially lower in black control women (13.9 ± 10.9) in comparison to white control women (22.5 ± 13.2 p < 0.001): hence the analysis was confined to white cases and racially matched control women. Compared with racially matched controls, cases were younger, more likely to be married, and reported a higher household income. The average number of mast cells per ×400 magnification field overall was 19.1 ± 13.2 (range, 0-62). There was no difference in the mast cell count between racially matched cases (22.4 ± 13.9 per ×400 field) and controls (22.5 ± 13.2) in either the univariate or multivariable analyses. Within the group of cases, there was no difference in mast cell density based on the presence or absence of a variety of urogenital symptoms. Conclusions No difference in mast cell density in biopsies of the vestibule was found between white cases and racially matched controls. Black control women have a lower mast cell density compared with white control women.",10.1097/LGT.0000000000000221,The Shrewsbury and Telford Hospital NHS Trust,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,"2015 ISSVD, ISSWSH, and IPPS Consensus Terminology and Classification of Persistent Vulvar Pain and Vulvodynia",2016.0,Journal of Sexual Medicine,Article,Consensus Conference; Dyspareunia; Pelvic Pain; Sexual Dysfunction; Terminology; Vestibulodynia; Vulva; Vulvar Pain; Vulvar Vestibulitis; Vulvodynia,"2016 International Society for Sexual MedicineIntroduction In 2014, the Executive Council of the International Society for the Study of Vulvovaginal Disease (ISSVD), the Boards of Directors of the International Society for the Study of Women's Sexual Health (ISSWSH), and the International Pelvic Pain Society (IPPS) acknowledged the need to revise the current terminology of vulvar pain, based on the significant increase in high quality etiologic studies published in the last decade. Methods The new terminology was achieved in four steps. The first involved a terminology consensus conference with representatives of the three societies, held in April 2015. Then, an analysis of the relevant published studies was used to establish a level of evidence for each factor associated with vulvodynia. The terminology was amended based on feedback from members of the societies. Finally, each society's board accepted the new terminology. Results and Conclusion In 2015, the ISSVD, ISSWSH, and IPPS adopted a new vulvar pain and vulvodynia terminology that acknowledges the complexity of the clinical presentation and pathophysiology involved in vulvar pain and vulvodynia, and incorporates new information derived from evidence-based studies conducted since the last terminology published in 2003.",10.1016/j.jsxm.2016.02.167,Western Galilee Hospital,0000-0001-9256-840X,7202456097.0,
Barbara D Reed,"Remission, relapse, and persistence of vulvodynia: A longitudinal population-based study",2016.0,Journal of Women's Health,Article,"persistence vulvodynia, vulvodynia study, remission vulvodynia, vulvodynia symptoms, onset vulvodynia, vulvodynia longitudinal, remission relapse, relapse persistence, vulvodynia, support vulvodynia","Mary Ann Liebert, Inc. 2016.Background: Vulvodynia has been considered to be a chronic disorder. We sought to estimate the probability of and risk factors for remission, relapse, and persistence among women screening positive for vulvodynia. Methods: Survey-based assessment in a longitudinal population-based study of women (the Woman to Woman Health Study) who screened positive for vulvodynia and completed at least four follow-up surveys. Outcome measures included remission without relapse, relapse (after remission), and persistence of a positive vulvodynia screen. Multinomial regression was used to assess factors associated with outcomes. Results: Of 441 women screening positive for vulvodynia during the study, 239 completed 4 additional surveys. Of these, 23 (9.6%) had consistently positive vulvodynia screens, 121 (50.6%) remitted without relapse, and 95 (39.7%) relapsed following remission. Overall, factors associated with both relapse and persistence (compared with remission alone) included increased severity of pain ever (p < 0.001) or after intercourse (p = 0.03), longer duration of symptoms (p ≤ 0.001), and screening positive for fibromyalgia (p < 0.001). Factors associated with persistence (but not relapse) included more severe symptoms with intercourse (p = 0.001) and pain with oral sex (p = 0.003) or partner touch (p = 0.04). Factors associated with relapse (but not persistence) included having provoked pain (p = 0.001) or screening positive for interstitial cystitis (p = 0.05) at first positive vulvodynia screen. Demographic characteristics, age at pain onset, and whether vulvodynia was primary or secondary did not predict outcome. Conclusion: Remission of vulvodynia symptoms is common with approximately half of remitters experiencing a relapse within 6-30 months. Persistence without remission is the exception rather than the rule. Pain history and comorbid conditions were associated with the more severe outcomes of relapse and/or persistence compared with those who remitted only. These findings provide further support that vulvodynia is heterogeneous and often occurs in an episodic pattern.",10.1089/jwh.2015.5397,"University of Michigan, Ann Arbor",0000-0001-9256-840X,7202456097.0,
Barbara D Reed,Presence of Spontaneous Pain and Comorbid Pain Conditions Identifies Vulvodynia Subgroups,2016.0,Journal of Lower Genital Tract Disease,Article,comorbidity; pain; spontaneous pain; subgroups; vulvodynia,"2015 American Society for Colposcopy and Cervical Pathology.Objective The aims of the study were to define the heterogeneity of vulvodynia by determining data-driven subgroups within the vulvodynia diagnosis using exploratory cluster analysis and to characterize the subgroups identified. Materials and Methods Included were participants in the longitudinal population-based study of vulvodynia in southeast Michigan who screened positive for vulvodynia at least once during the study. A cluster analysis using variables reflecting vulvar pain characteristics and comorbid pain conditions was conducted. Variables reflecting best separation of clusters were used to assign participants to subgroup categories. Demographic, psychiatric, general health, and other vulvar pain characteristics were summarized for each subgroup, followed by multinomial regression and pairwise comparisons of subgroups on these factors. Results Of 441 women screening positive for vulvodynia during the course of the study, 393 were eligible on the basis of data requirements. Cluster analysis suggested that best subgroup separation was based on the following 2 variables: (1) presence or absence of spontaneous vulvar pain and (2) presence or absence of other comorbid pain conditions. Subgroups did not differ by age or ethnicity. The subgroup having spontaneous pain and other comorbid conditions demonstrated greatest morbidity in general health measures, psychiatric disorders, and other vulvar pain measures. Primary versus secondary vulvodynia did not vary between subgroups and did not assist in subgroup separation in the cluster analysis. Discussion Subgroups based on exploratory cluster analysis demonstrated that presence of spontaneous pain and the presence of comorbid pain conditions resulted in best separation of groups. Presence of both spontaneous pain and other comorbid pain conditions identified the group with greatest morbidity.",10.1097/LGT.0000000000000166,University of Michigan Medical School,0000-0001-9256-840X,7202456097.0,
